"ALIAS","Date.EST","WY","Chla","Color","PAR","Sal","SRP","TN","TP","Turb","DIN","Data.Value","q.30d","Dist_km"
"CES02",2016-09-13,2017,3.9,160,7.5,0.2,84,1.26,110,4.1,0.272,0.0054314076,0.2263575816,1.79266486354506
"CES02",2013-12-10,2014,3.4,62,7.7,2.7,54,1.182,75,1.7,0.306,0.0035720068,0.05294888436,1.79266486354506
"CES02",2012-06-19,2013,20.4,40,7.7,6.15,123,1.32,192,2.7,0.132,0.00089544828,0.04372283118,1.79266486354506
"CES02",2011-04-21,2011,3.8,32,7.4,8.22,123,0.8425,152,1.2,0.0075,0,0.0131503675,1.79266486354506
"CES02",2013-11-18,2014,1.36,102,7.6,2.33,85,1.336,112,2.9,0.437,0.002691238,0.05530738748,1.79266486354506
"CES02",2012-04-17,2012,22.2,32,7.2,15.7,118,1.0725,200,2.8,0.0085,0,0.01193441724,1.79266486354506
"CES02",2013-05-21,2014,7.93,54,7.8,1.03,61,1.248,103,2.4,0.087,0.0025933748,0.08075181948,1.79266486354506
"CES02",2017-07-12,2018,7.2,164,7.4,0.26,204,1.52,240,2.2,0.252,0.00214565066,0.15471682604,1.79266486354506
"CES02",2010-01-26,2010,8,39,7.6,3.88,42,0.882,88,3.7,0.106,0.00038655964,0.02294402724,1.79266486354506
"CES02",2015-04-14,2015,8.37,37,7.9,0.22,37,0.954,73,2.6,0.044,0.0046729678,0.15338588652,1.79266486354506
"CES02",2018-01-23,2018,6.5,74,7.6,1.79,78,1.32,121,5.3,0.434,0.00103490334,0.078208844228,1.79266486354506
"CES02",2012-10-23,2013,6.34,198,7.1,0.18,73,1.584,116,2.8,0.223,0.0080247824,0.3993063218,1.79266486354506
"CES02",2014-01-07,2014,5.49,55,7.7,3.29,59,1.139,89,2.6,0.304,0.00187408028,0.04967046716,1.79266486354506
"CES02",2014-12-09,2015,2,80,7.5,1.4,53,1.13,74,2.3,0.269,0.0029603618,0.08690496818,1.79266486354506
"CES02",2014-04-09,2014,4.18,41,7.7,0.24,59,1.008,91,1.7,0.102,0.0025199774,0.08329136952,1.79266486354506
"CES02",2014-11-12,2015,2.59,130,7.5,1.45,88,1.44,110,1.1,0.384,0.0006483437,0.07276862894,1.79266486354506
"CES02",2016-01-13,2016,0.736,139,7.5,0.61,93,1.33,110,1.6,0.342,0.00227287282,0.10133979018,1.79266486354506
"CES02",2011-06-02,2012,16.9,28,7.8,16.8,166,1.0625,227,3.4,0.0105,0,0.00219213568,1.79266486354506
"CES02",2013-08-13,2014,3.9,190,7,0.16,45,1.336,81,3.2,0.19,0.0239275524,0.7860372224,1.79266486354506
"CES02",2015-01-21,2015,3.41,70,7.6,1.26,61,1.12,82,2.4,0.27,0.00211873828,0.09881002646,1.79266486354506
"CES02",2012-02-14,2012,1.99,60,7.5,6.26,70,1.203,95,1.4,0.293,0.0002813567,0.03167587126,1.79266486354506
"CES02",2014-03-05,2014,6.36,55,7.5,0.34,62,1.282,92,1.6,0.232,0.00222394122,0.0815445114,1.79266486354506
"CES02",2011-07-20,2012,76.8,90,7.5,0.37,159,1.305,237,2.5,0.042,0.00366987,0.0650545622,1.79266486354506
"CES02",2012-08-01,2013,21.8,114,7.6,0.29,112,1.313,163,2.1,0.03,0.00097618542,0.0721863429,1.79266486354506
"CES02",2016-11-08,2017,3.47,89,7.6,0.17,44,1.16,74,3.4,0.241,0.0037188016,0.2570376948,1.79266486354506
"CES02",2016-05-10,2017,11.6,49,7.7,0.2,59,1.1,105,6.2,0.134,0.004648502,0.1831020472,1.79266486354506
"CES02",2013-02-25,2013,25.2,73,8,0.75,29,1.223,80,1.8,0.024,0.00023976484,0.06711458256,1.79266486354506
"CES02",2011-12-20,2012,1.98,71,7.5,5.71,62,1.124,87,1.8,0.385,0.00032784172,0.0163186886,1.79266486354506
"CES02",2017-09-20,2018,6.11,235,6.8,0.11,182,1.4,275,4.6,0.164,0.0229244546,0.58184076244,1.79266486354506
"CES02",2011-02-09,2011,6.95,41,7.8,2.52,44,1.024,84,3.5,0.115,0.00023976484,0.01838115554,1.79266486354506
"CES02",2012-01-10,2012,11.1,72,7.7,5.59,55,1.222,96,3.2,0.347,0.00017615376,0.03385822062,1.79266486354506
"CES02",2017-10-18,2018,3.2,188,7,0.15,74,1.43,124,4.9,0.221,0.0204778746,0.7928876464,1.79266486354506
"CES02",2011-08-03,2012,12.8,128,7.4,0.79,232,1.425,274,1.2,0.268,0.0026178406,0.0693116114,1.79266486354506
"CES02",2013-04-02,2013,8.54,55,7.9,9.26,31,1.115,69,2.8,0.013,0.00184472132,0.05008638576,1.79266486354506
"CES02",2014-08-12,2015,14.6,164,7.4,0.2,140,1.46,196,2.2,0.312,0.0040123912,0.15348130314,1.79266486354506
"CES02",2015-07-21,2016,52.9,78,7.8,0.25,100,0.969,187,4.1,0.07,0.0032050198,0.06296518288,1.79266486354506
"CES02",2012-12-18,2013,4.36,85,7.5,1.96,55,1.305,76,1.4,0.294,0.00022997852,0.05267976056,1.79266486354506
"CES02",2016-03-08,2016,5.44,114,7.5,0.17,28,1.08,60,4.5,0.113,0.0109851442,0.5162039142,1.79266486354506
"CES02",2015-02-10,2015,2.07,58,7.6,0.23,32,1.03,58,2.5,0.165,0.0027401696,0.10097769634,1.79266486354506
"CES02",2015-08-11,2016,65.8,108,7.6,0.23,101,1.43,180,3.9,0.113,0.00134072584,0.09315598008,1.79266486354506
"CES02",2018-05-15,2019,4.83,45,7.6,1.32,103,1.41,160,6.2,0.409,0.0078535218,0.065561982892,1.79266486354506
"CES02",2014-09-09,2015,1.55,150,7.3,0.24,123,1.49,159,1.6,0.411,0.006728095,0.14560576212,1.79266486354506
"CES02",2013-01-28,2013,4.22,69,7.6,5.61,50,1.114,79,2.4,0.189,0.00026667722,0.05240085044,1.79266486354506
"CES02",2018-10-16,2019,5.32,90,7.4,0.19,72,1.3,107,3.3,0.275,0.0037677332,0.1757745401,1.79266486354506
"CES02",2014-10-14,2015,7.42,160,7.4,0.2,103,1.44,134,1.7,0.345,0.00102022386,0.19298133724,1.79266486354506
"CES02",2017-08-08,2018,23.7,134,7.7,0.24,118,1.03,173,3.3,0.224,0.0029603618,0.13043207296,1.79266486354506
"CES02",2010-08-31,2011,5,126,7.3,0.22,93,1.304,122,1.1,0.31,0.0073642058,0.18589359498,1.79266486354506
"CES02",2016-07-13,2017,3.87,194,7.2,0.16,98,1.28,134,3.8,0.251,0.0074865348,0.4385005334,1.79266486354506
"CES02",2013-03-12,2013,23.1,66,7.8,0.87,37,1.473,100,2.2,0.222,0.002201922,0.073886716,1.79266486354506
"CES02",2010-04-27,2010,4,89,7.3,0.26,85,1.312,121,3.1,0.204,0.0167101414,0.1956285368,1.79266486354506
"CES02",2011-09-13,2012,8.58,184,7.3,0.2,104,1.349,143,2.5,0.296,0.0055292708,0.173951838,1.79266486354506
"CES02",2010-11-30,2011,1.75,74,7.7,4.23,65,1.147,85,3,0.285,0,0.03700696908,1.79266486354506
"CES02",2012-05-08,2013,9.16,31,8.1,12.6,53,1.0225,102,3.1,0.0135,0,0.02084730818,1.79266486354506
"CES02",2013-09-10,2014,3.18,132,7.2,0.19,71,1.336,107,5.1,0.232,0.0186674054,0.7258758202,1.79266486354506
"CES02",2018-08-21,2019,1.96,187,7.2,0.17,102,1.39,138,2.9,0.3,0.0075110006,0.2291711486,1.79266486354506
"CES02",2017-05-16,2018,11.5,39,7.8,4.41,122,1.18,172,2.7,0.114,0.00051867496,0.024366958168,1.79266486354506
"CES02",2010-05-25,2011,4,84,7.4,0.24,68,1.292,95,2.4,0.176,0.008440701,0.3804676558,1.79266486354506
"CES02",2011-05-18,2012,9.57,32,8.2,9.18,123,0.9225,169,1.7,0.0115,0,0.00219213568,1.79266486354506
"CES02",2012-09-19,2013,7.74,188,7.3,0.22,110,1.547,150,2.9,0.318,0.0093214698,0.3107890574,1.79266486354506
"CES02",2010-06-29,2011,29,53,7.7,0.22,44,1.446,95,4.1,0.1,0.007584398,0.2472024432,1.79266486354506
"CES02",2015-10-13,2016,13.9,146,7.4,0.21,74,1.3,109,1.6,0.345,0.00060675184,0.16581940608,1.79266486354506
"CES02",2018-06-26,2019,10.3,214,7.3,0.18,164,1.54,223,10,0.18,0.0076822612,0.3855565422,1.79266486354506
"CES02",2012-07-17,2013,5.08,73,7.7,1.43,143,1.287,181,2.5,0.229,0.0024710458,0.05553981258,1.79266486354506
"CES02",2014-07-08,2015,2.55,93,7.5,0.99,185,1.19,209,1.7,0.245,0.0027157038,0.0649444661,1.79266486354506
"CES02",2014-06-10,2015,9.31,34,7.6,2.85,106,1.04,152,2.7,0.057,0.00159272358,0.03788039814,1.79266486354506
"CES02",2014-02-11,2014,3.31,42,7.6,1.69,39,1,64,2.5,0.159,0.003302883,0.07145481548,1.79266486354506
"CES02",2010-12-21,2011,0.9,49,7.8,3.65,60,1.027,79,0.9,0.256,0,0.02902622512,1.79266486354506
"CES02",2018-04-18,2018,6.72,51,8.1,2.94,101,1.26,149,4,0.249,0.00063855738,0.04500239252,1.79266486354506
"CES02",2011-01-12,2011,1.5,37,7.8,4.97,51,0.939,71,1,0.178,0,0.01136681068,1.79266486354506
"CES02",2011-10-18,2012,0.544,136,7.5,0.26,93,1.208,116,1.9,0.351,0.0074865348,0.06601851472,1.79266486354506
"CES02",2019-04-23,2019,14.1,36,7.9,0.24,104,1.27,167,3.6,0.115,0.00176643076,0.06802226374,1.79266486354506
"CES02",2019-01-22,2019,8.84,42,7.6,2.39,56,1.11,105,3.2,0.132,0.00192545846,0.060163359464,1.79266486354506
"CES02",2012-03-14,2012,2.98,46,7.5,7.75,72,1.053,98,1.6,0.192,0.00012477558,0.03542158524,1.79266486354506
"CES02",2010-09-29,2011,2,117,7.7,0.18,89,1.372,113,3.3,0.413,0.0047463652,0.10597116612,1.79266486354506
"CES02",2013-07-02,2014,4.89,168,7.3,0.22,190,1.551,246,4.2,0.363,0.0236339628,0.2613926072,1.79266486354506
"CES02",2015-03-10,2015,4.79,51,7.7,0.22,41,1.07,77,4.7,0.152,0.0050888864,0.12747660432,1.79266486354506
"CES02",2010-07-28,2011,32,49,7.6,0.19,44,1.362,106,4.3,0.1,0.0038166648,0.372124818,1.79266486354506
"CES02",2009-11-24,2010,4,50,7.7,9.61,132,1.012,160,1.6,0.27,0.00053335444,0.00087587564,1.79266486354506
"CES02",2011-11-01,2012,0.756,177,7.1,0.2,74,1.335,103,2.3,0.282,0.01100961,0.17152238406,1.79266486354506
"CES02",2010-10-27,2011,1,88,7.6,5.64,96,1.092,124,1.4,0.305,0,0.02760231556,1.79266486354506
"CES02",2013-10-08,2014,5.17,143,7.2,0.17,47,1.368,80,3.5,0.22,0.0104468966,0.522711817,1.79266486354506
"CES02",2017-11-28,2018,2.83,136,7.2,0.14,80,1.41,131,6.2,0.266,0.0153889882,0.5595817776,1.79266486354506
"CES02",2017-04-12,2017,1.62,37,7.7,2.73,80,1.03,125,2.7,0.128,0.00032784172,0.04426107878,1.79266486354506
"CES03",2013-05-21,2014,22.1,56,8,1.02,57,1.2125,110,5,0.0145,0.0025933748,0.08075181948,6.48771359087814
"CES03",2014-03-05,2014,6.17,53,7.5,0.35,63,1.214,91,1.4,0.22,0.00222394122,0.0815445114,6.48771359087814
"CES03",2015-03-10,2015,9.37,46,7.8,0.23,41,1,73,3,0.132,0.0050888864,0.12747660432,6.48771359087814
"CES03",2013-08-13,2014,4,187,7.1,0.17,55,1.477,116,5.6,0.226,0.0239275524,0.7860372224,6.48771359087814
"CES03",2011-02-09,2011,7,34,7.9,3.17,37,0.925,68,2,0.065,0.00023976484,0.01838115554,6.48771359087814
"CES03",2010-09-29,2011,2,122,7.6,0.21,73,1.309,96,4.7,0.323,0.0047463652,0.10597116612,6.48771359087814
"CES03",2009-01-27,2009,18,69,7.7,0.26,83,1.477,128,3.3,0.242,0.00030092934,0.04469657002,6.48771359087814
"CES03",2018-08-21,2019,2.96,190,7.2,0.17,100,1.41,138,2.5,0.306,0.0075110006,0.2291711486,6.48771359087814
"CES03",2008-06-18,2009,35,30,8.3,15.1,159,1.53,294,8.7,0.069,0.00014434822,0.0030092934,6.48771359087814
"CES03",2005-08-22,2006,2.59,122.5,7.19,0.2,50,1.4,115,11.8,0.1805,0.0192790504,0.6560748928,6.48771359087814
"CES03",2011-12-20,2012,7.17,74,7.6,5.07,57,1.128,84,1.4,0.361,0.00032784172,0.0163186886,6.48771359087814
"CES03",2008-05-19,2009,20,29,7.6,18,111,0.8925,167,3.6,0.0085,0,0,6.48771359087814
"CES03",2007-04-23,2007,18,34,7.2,19.6,125,1.058,198,4.3,0.083,0,0,6.48771359087814
"CES03",2006-12-19,2007,2,53,7.6,8.3,89,1.195,116,1.6,0.417,0.00140189034,0.00986461056,6.48771359087814
"CES03",2011-05-18,2012,17.6,30,8.2,10.7,124,0.9825,185,1.7,0.0105,0,0.00219213568,6.48771359087814
"CES03",2017-07-12,2018,7.91,161,7.4,0.25,205,1.47,241,2,0.246,0.00214565066,0.15471682604,6.48771359087814
"CES03",2012-08-01,2013,16.8,118,7.6,0.34,111,1.329,154,2.1,0.077,0.00097618542,0.0721863429,6.48771359087814
"CES03",2008-07-28,2009,22,160,7.4,0.27,210,1.634,262,3.5,0.403,0.003914528,0.10917129276,6.48771359087814
"CES03",2018-06-26,2019,3.64,211,7.4,0.18,161,1.49,205,5.4,0.202,0.0076822612,0.3855565422,6.48771359087814
"CES03",2010-08-31,2011,4,140,7.2,0.2,89,1.322,120,3.6,0.28,0.0073642058,0.18589359498,6.48771359087814
"CES03",2008-02-25,2008,39,33,8,12.1,46,1.114,127,4,0.065,0,0.00365029736,6.48771359087814
"CES03",2014-01-07,2014,3.57,54,7.8,3.61,58,1.104,78,1.2,0.275,0.00187408028,0.04967046716,6.48771359087814
"CES03",2008-10-27,2009,2,133,7.7,0.62,117,1.472,151,4,0.478,0.002691238,0.1601775926,6.48771359087814
"CES03",2012-09-19,2013,7.88,189,7.3,0.21,106,1.48,138,3.9,0.297,0.0093214698,0.3107890574,6.48771359087814
"CES03",2014-07-08,2015,3.53,84,7.4,0.99,182,1.16,207,1.8,0.234,0.0027157038,0.0649444661,6.48771359087814
"CES03",2010-05-25,2011,4,84,7.4,0.24,73,1.33,102,2.4,0.207,0.008440701,0.3804676558,6.48771359087814
"CES03",2016-11-08,2017,4.98,92,8,0.22,46,1.14,73,2.8,0.246,0.0037188016,0.2570376948,6.48771359087814
"CES03",2012-12-18,2013,5.75,84,7.5,1.93,54,1.239,74,2.1,0.28,0.00022997852,0.05267976056,6.48771359087814
"CES03",2018-04-18,2018,8.04,49,7.8,2.79,93,1.16,136,3.5,0.202,0.00063855738,0.04500239252,6.48771359087814
"CES03",2008-08-26,2009,2,211,5.9,0.12,234,1.335,277,3.4,0.205,0.032050198,0.32588200942,6.48771359087814
"CES03",2013-11-18,2014,3.5,99,7.7,2.27,89,1.367,114,1.9,0.467,0.002691238,0.05530738748,6.48771359087814
"CES03",2018-05-15,2019,6.08,44,7.5,2.61,109,1.26,148,3.6,0.337,0.0078535218,0.065561982892,6.48771359087814
"CES03",2011-10-18,2012,0.62,145,7.5,0.33,93,1.225,116,1.4,0.36,0.0074865348,0.06601851472,6.48771359087814
"CES03",2012-03-14,2012,6.26,46,7.7,6.97,68,1.053,102,1.8,0.167,0.00012477558,0.03542158524,6.48771359087814
"CES03",2013-12-10,2014,3.92,62,7.8,3.22,58,1.15,80,1.4,0.31,0.0035720068,0.05294888436,6.48771359087814
"CES03",2015-10-13,2016,6.82,156,7.5,0.21,71,1.22,101,2,0.288,0.00060675184,0.16581940608,6.48771359087814
"CES03",2014-10-14,2015,3.09,168,7.6,0.2,109,1.41,135,1.9,0.331,0.00102022386,0.19298133724,6.48771359087814
"CES03",2018-01-23,2018,10.2,78,7.8,0.99,77,1.38,126,4.7,0.443,0.00103490334,0.078208844228,6.48771359087814
"CES03",2011-07-20,2012,98.8,76,7.8,0.45,133,1.3125,220,3.1,0.0095,0.00366987,0.0650545622,6.48771359087814
"CES03",2007-03-26,2007,1,34,8.1,16.3,76,0.932,140,4.7,0.013,0,0,6.48771359087814
"CES03",2012-06-19,2013,23.6,39,7.7,6.03,116,1.175,168,3,0.06,0.00089544828,0.04372283118,6.48771359087814
"CES03",2013-04-02,2013,13.5,56,8,9.62,31,1.1425,77,2,0.005,0.00184472132,0.05008638576,6.48771359087814
"CES03",2014-02-11,2014,3.34,44,7.8,1.41,42,1.025,71,1.7,0.173,0.003302883,0.07145481548,6.48771359087814
"CES03",2014-12-09,2015,1.4,71,7.5,1.35,52,1.12,73,2,0.269,0.0029603618,0.08690496818,6.48771359087814
"CES03",2015-07-21,2016,28.7,75,7.8,0.26,99,0.954,158,4.2,0.057,0.0032050198,0.06296518288,6.48771359087814
"CES03",2013-09-10,2014,2.5,131,7.2,0.18,72,1.382,109,5,0.25,0.0186674054,0.7258758202,6.48771359087814
"CES03",2007-06-18,2008,35,35,7.6,12.9,222,1.333,320,3.6,0.149,0.0033518146,0.01175826348,6.48771359087814
"CES03",2015-01-21,2015,1.33,73,7.9,1.35,67,1.2,84,1.8,0.292,0.00211873828,0.09881002646,6.48771359087814
"CES03",2014-08-12,2015,20.8,150,7.3,0.2,119,1.43,177,2.7,0.306,0.0040123912,0.15348130314,6.48771359087814
"CES03",2008-12-29,2009,7,62,7.7,5.24,73,1.301,106,2.6,0.241,0.00149730696,0.03783146654,6.48771359087814
"CES03",2006-09-26,2007,5,178,7.4,0.18,127,1.299,170,2,0.29,0.00193769136,0.50615336356,6.48771359087814
"CES03",2009-08-25,2010,10,138,7.4,0.22,92,1.393,129,2.7,0.257,0.0032539514,0.233893048,6.48771359087814
"CES03",2011-09-13,2012,5.04,211,7.2,0.17,101,1.38,140,3.4,0.258,0.0055292708,0.173951838,6.48771359087814
"CES03",2015-02-10,2015,1.96,63,7.6,0.25,38,1.05,59,1.7,0.192,0.0027401696,0.10097769634,6.48771359087814
"CES03",2010-07-28,2011,33,49,7.8,0.2,26,1.288,90,3.7,0.027,0.0038166648,0.372124818,6.48771359087814
"CES03",2014-09-09,2015,2.35,136,7.4,0.26,132,1.52,165,1.9,0.438,0.006728095,0.14560576212,6.48771359087814
"CES03",2013-02-25,2013,30.5,70,8.1,0.83,31,1.203,80,2.9,0.029,0.00023976484,0.06711458256,6.48771359087814
"CES03",2007-11-26,2008,36,38,7.4,14.4,102,1.101,173,3.7,0.052,0,0.00065079028,6.48771359087814
"CES03",2008-09-29,2009,6,165,7.4,0.21,153,1.879,212,4.4,0.229,0.0084896326,0.36413184114,6.48771359087814
"CES03",2019-04-23,2019,10,35,8,0.24,85,1.11,134,2.7,0.077,0.00176643076,0.06802226374,6.48771359087814
"CES03",2004-07-12,2005,29.3,118.25,8.015,7,201,1.26,279.5,7.92,0.247,0.0017370718,0.03231687522,6.48771359087814
"CES03",2006-10-24,2007,5,100,7.7,2.65,83,1.132,123,2.7,0.215,0,0.019694969,6.48771359087814
"CES03",2016-07-13,2017,5.07,188,7.3,0.17,98,1.3,134,2.8,0.261,0.0074865348,0.4385005334,6.48771359087814
"CES03",2009-04-28,2009,73,41,7.4,10.2,142,1.5725,253,1.7,0.0085,0,0.02180636754,6.48771359087814
"CES03",2014-11-12,2015,6.22,129,7.6,1.22,91,1.46,114,1.2,0.392,0.0006483437,0.07276862894,6.48771359087814
"CES03",2008-03-24,2008,27,31,7.7,13.9,91,1.048,160,4.2,0.073,0,0.00313406898,6.48771359087814
"CES03",2008-04-28,2008,11,27,7.6,14.4,98,0.934,152,3.5,0.069,0,0.00913063656,6.48771359087814
"CES03",2016-09-13,2017,7.48,164,7.7,0.19,80,1.24,110,2.7,0.269,0.0054314076,0.2263575816,6.48771359087814
"CES03",2019-01-22,2019,6.81,36,7.7,2.36,61,1.07,100,2.1,0.134,0.00192545846,0.060163359464,6.48771359087814
"CES03",2007-05-22,2008,4,35,7.7,21,161,1.097,227,3.4,0.022,0,0,6.48771359087814
"CES03",2017-10-18,2018,3.52,184,7.1,0.15,71,1.42,133,7.1,0.222,0.0204778746,0.7928876464,6.48771359087814
"CES03",2016-01-13,2016,1.18,144,7.6,0.56,96,1.37,116,2.5,0.356,0.00227287282,0.10133979018,6.48771359087814
"CES03",2011-04-21,2011,7.15,31,7.7,7.89,105,1.0125,171,1.8,0.005,0,0.0131503675,6.48771359087814
"CES03",2009-03-24,2009,5,44,7.5,12.4,108,1.078,141,0.8,0.186,0,0.00487848052,6.48771359087814
"CES03",2010-01-26,2010,9,44,7.7,4.88,68,1.002,102,3.5,0.19,0.00038655964,0.02294402724,6.48771359087814
"CES03",2010-06-29,2011,28,55,7.7,0.22,44,1.447,90,4.9,0.104,0.007584398,0.2472024432,6.48771359087814
"CES03",2015-08-11,2016,20.4,125,7.6,0.22,96,1.22,139,2.1,0.153,0.00134072584,0.09315598008,6.48771359087814
"CES03",2014-04-09,2014,4.25,40,7.8,0.25,54,0.939,85,2.3,0.076,0.0025199774,0.08329136952,6.48771359087814
"CES03",2009-02-24,2009,20,57,7.6,3.02,51,1.265,105,5.4,0.043,0,0.03805165874,6.48771359087814
"CES03",2018-10-16,2019,3.17,96,7.4,0.2,72,1.22,100,2.8,0.297,0.0037677332,0.1757745401,6.48771359087814
