"Variable","SITE","BK.pt","BK.pt.SE","RSE","R2"
"S79 Discharge","CES02",2.19244419567008,0.960653906531259,0.133715341662098,0.273330540292546
"S79 Discharge","CES03",0.851164632743361,0.761963465117026,0.153399622050722,0.439631468181595
"S79 Discharge","CES04",NA,NA,NA,NA
"S79 Discharge","CES05",2.88133955865483,1.21132143698045,0.110772947800632,0.0558516921249582
"S79 TP FWM","CES02",165.380398093217,79.6372068739166,0.144168110645163,0.155279866746209
"S79 TP FWM","CES03",184.419079239744,60.5333661043764,0.163565678729026,0.362897190801606
"S79 TP FWM","CES04",179.579353319085,55.7789788715238,0.207112001316162,0.184035934553082
"S79 TP FWM","CES05",NA,NA,NA,NA
"S79 TN FWM","CES02",1.31647289500283,0.179957190375813,0.147200264760757,0.119373776727654
"S79 TN FWM","CES03",1.60791383766842,0.0228468489634217,0.192522533980425,0.117350461996312
"S79 TN FWM","CES04",1.33963569148178,0.0676361633136974,0.21881524853875,0.0892154199386823
"S79 TN FWM","CES05",1.32270514409738,0.159154652980971,0.0954921893361422,0.298369444260811
